****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Parallel execution requested.  Will use 7 threads.
Cross-validation will be performed.  Folds=5.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 64x1560164
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 8.352	Loglikelihood: -8.41276e+07	(delta): 6.90485e+07
40 (QN/Block) 	Elapsed: 22.001	Loglikelihood: -7.72794e+07	(delta): 28.1297
41 (QN/Block) 	Elapsed: 21.952	Loglikelihood: -7.72794e+07	(delta): 22.4437
42 (QN/Block) 	Elapsed: 22.025	Loglikelihood: -7.72794e+07	(delta): 29.1972
43 (QN/Block) 	Elapsed: 21.97	Loglikelihood: -7.72793e+07	(delta): 39.3158
44 (QN/Block) 	Elapsed: 21.988	Loglikelihood: -7.72793e+07	(delta): 54.9774
45 (QN/Block) 	Elapsed: 22.066	Loglikelihood: -7.72792e+07	(delta): 53.1374
46 (QN/Block) 	Elapsed: 22.007	Loglikelihood: -7.72792e+07	(delta): 11.218
47 (QN/Block) 	Elapsed: 22.282	Loglikelihood: -7.72792e+07	(delta): 4.7169
48 (QN/Block) 	Elapsed: 22.695	Loglikelihood: -7.72792e+07	(delta): 5.12006
49 (QN/Block) 	Elapsed: 22.784	Loglikelihood: -7.72792e+07	(delta): 5.74344
50 (QN/Block) 	Elapsed: 22.819	Loglikelihood: -7.72792e+07	(delta): 6.61156
51 (QN/Block) 	Elapsed: 22.584	Loglikelihood: -7.72792e+07	(delta): 7.8165
52 (QN/Block) 	Elapsed: 22.647	Loglikelihood: -7.72792e+07	(delta): 9.55725
53 (QN/Block) 	Elapsed: 22.49	Loglikelihood: -7.72792e+07	(delta): 12.0243
54 (QN/Block) 	Elapsed: 22.633	Loglikelihood: -7.72791e+07	(delta): 15.5812
55 (QN/Block) 	Elapsed: 22.693	Loglikelihood: -7.72791e+07	(delta): 20.8827
56 (QN/Block) 	Elapsed: 22.328	Loglikelihood: -7.72791e+07	(delta): 37.0346
57 (QN/Block) 	Elapsed: 22.568	Loglikelihood: -7.7279e+07	(delta): 39.958
58 (QN/Block) 	Elapsed: 22.782	Loglikelihood: -7.7279e+07	(delta): 27.4407
59 (QN/Block) 	Elapsed: 22.462	Loglikelihood: -7.7279e+07	(delta): 29.0847
60 (QN/Block) 	Elapsed: 22.778	Loglikelihood: -7.7279e+07	(delta): 23.4995
61 (QN/Block) 	Elapsed: 22.743	Loglikelihood: -7.72789e+07	(delta): 15.488
62 (QN/Block) 	Elapsed: 22.758	Loglikelihood: -7.72789e+07	(delta): 21.2871
63 (QN/Block) 	Elapsed: 22.768	Loglikelihood: -7.72789e+07	(delta): 18.2113
64 (QN/Block) 	Elapsed: 22.546	Loglikelihood: -7.72789e+07	(delta): 8.15078
65 (QN/Block) 	Elapsed: 21.963	Loglikelihood: -7.72789e+07	(delta): 10.9941
66 (QN/Block) 	Elapsed: 21.883	Loglikelihood: -7.72789e+07	(delta): 15.2442
67 (QN/Block) 	Elapsed: 21.62	Loglikelihood: -7.72789e+07	(delta): 13.8797
68 (QN/Block) 	Elapsed: 21.373	Loglikelihood: -7.72789e+07	(delta): 3.86474
69 (QN/Block) 	Elapsed: 21.614	Loglikelihood: -7.72788e+07	(delta): 5.06767
70 (QN/Block) 	Elapsed: 21.496	Loglikelihood: -7.72788e+07	(delta): 6.81724
71 (QN/Block) 	Elapsed: 21.583	Loglikelihood: -7.72788e+07	(delta): 9.41409
72 (QN/Block) 	Elapsed: 21.432	Loglikelihood: -7.72788e+07	(delta): 13.3871
73 (QN/Block) 	Elapsed: 21.621	Loglikelihood: -7.72788e+07	(delta): 6.79862
74 (QN/Block) 	Elapsed: 21.424	Loglikelihood: -7.72788e+07	(delta): 0.141247
75 (QN/Block) 	Elapsed: 20.699	Loglikelihood: -7.72788e+07	(delta): 0.699788
76 (QN/Block) 	Elapsed: 20.729	Loglikelihood: -7.72788e+07	(delta): 2.76507
77 (QN/Block) 	Elapsed: 20.848	Loglikelihood: -7.72788e+07	(delta): 4.38886
78 (QN/Block) 	Elapsed: 20.693	Loglikelihood: -7.72788e+07	(delta): 7.29462
79 (QN/Block) 	Elapsed: 21.503	Loglikelihood: -7.72788e+07	(delta): 3.84444
80 (QN/Block) 	Elapsed: 21.481	Loglikelihood: -7.72788e+07	(delta): 4.67567
81 (QN/Block) 	Elapsed: 21.577	Loglikelihood: -7.72788e+07	(delta): 6.02845
82 (QN/Block) 	Elapsed: 21.428	Loglikelihood: -7.72788e+07	(delta): 8.07597
83 (QN/Block) 	Elapsed: 21.55	Loglikelihood: -7.72788e+07	(delta): 10.7625
84 (QN/Block) 	Elapsed: 21.408	Loglikelihood: -7.72788e+07	(delta): 1.77299
85 (QN/Block) 	Elapsed: 21.53	Loglikelihood: -7.72788e+07	(delta): 0.530024
86 (QN/Block) 	Elapsed: 21.499	Loglikelihood: -7.72788e+07	(delta): 0.633409
87 (QN/Block) 	Elapsed: 23.489	Loglikelihood: -7.72788e+07	(delta): 0.772769
88 (QN/Block) 	Elapsed: 23.513	Loglikelihood: -7.72788e+07	(delta): 0.956432
89 (QN/Block) 	Elapsed: 23.595	Loglikelihood: -7.72788e+07	(delta): 1.20003
90 (QN/Block) 	Elapsed: 23.501	Loglikelihood: -7.72788e+07	(delta): 1.53293
91 (QN/Block) 	Elapsed: 23.569	Loglikelihood: -7.72788e+07	(delta): 1.97914
92 (QN/Block) 	Elapsed: 23.247	Loglikelihood: -7.72787e+07	(delta): 3.75178
93 (QN/Block) 	Elapsed: 23.439	Loglikelihood: -7.72787e+07	(delta): 6.51725
94 (QN/Block) 	Elapsed: 23.633	Loglikelihood: -7.72787e+07	(delta): 6.18877
95 (QN/Block) 	Elapsed: 23.521	Loglikelihood: -7.72787e+07	(delta): 8.62567
96 (QN/Block) 	Elapsed: 23.589	Loglikelihood: -7.72787e+07	(delta): 10.4065
97 (QN/Block) 	Elapsed: 23.517	Loglikelihood: -7.72787e+07	(delta): 0.274101
98 (QN/Block) 	Elapsed: 23.497	Loglikelihood: -7.72787e+07	(delta): 0.00879042
99 (QN/Block) 	Elapsed: 22.805	Loglikelihood: -7.72787e+07	(delta): 0.0178986
100 (QN/Block) 	Elapsed: 22.795	Loglikelihood: -7.72787e+07	(delta): 0.000485033
101 (QN/Block) 	Elapsed: 22.673	Loglikelihood: -7.72787e+07	(delta): 0.000100091
102 (QN/Block) 	Elapsed: 22.602	Loglikelihood: -7.72787e+07	(delta): 2.12789e-05
Summary: 
Converged in 102 iterations (2314.62 sec)
Loglikelihood: -77278716.986534
Fst divergences between estimated populations: 
	Pop0	Pop1	
Pop0	
Pop1	0.056	
Pop2	0.053	0.082	
CV error (K=3): 0.58841
Writing output files.
