****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Parallel execution requested.  Will use 7 threads.
Cross-validation will be performed.  Folds=5.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 64x1560164
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 16.417	Loglikelihood: -8.3682e+07	(delta): 5.5014e+07
18 (QN/Block) 	Elapsed: 38.53	Loglikelihood: -7.11462e+07	(delta): 1371.9
19 (QN/Block) 	Elapsed: 39.33	Loglikelihood: -7.11454e+07	(delta): 837.859
20 (QN/Block) 	Elapsed: 40.691	Loglikelihood: -7.1145e+07	(delta): 397.246
21 (QN/Block) 	Elapsed: 39.552	Loglikelihood: -7.11449e+07	(delta): 36.0874
22 (QN/Block) 	Elapsed: 39.489	Loglikelihood: -7.11449e+07	(delta): 9.76851
23 (QN/Block) 	Elapsed: 39.295	Loglikelihood: -7.11449e+07	(delta): 5.43614
24 (QN/Block) 	Elapsed: 38.891	Loglikelihood: -7.11449e+07	(delta): 4.62371
25 (QN/Block) 	Elapsed: 38.872	Loglikelihood: -7.11449e+07	(delta): 18.0446
26 (QN/Block) 	Elapsed: 40.15	Loglikelihood: -7.11448e+07	(delta): 46.2483
27 (QN/Block) 	Elapsed: 40.364	Loglikelihood: -7.11448e+07	(delta): 22.0517
28 (QN/Block) 	Elapsed: 38.932	Loglikelihood: -7.11448e+07	(delta): 36.7264
29 (QN/Block) 	Elapsed: 40.224	Loglikelihood: -7.11447e+07	(delta): 42.2205
30 (QN/Block) 	Elapsed: 40.166	Loglikelihood: -7.11447e+07	(delta): 29.3101
31 (QN/Block) 	Elapsed: 38.842	Loglikelihood: -7.11447e+07	(delta): 1.05811
32 (QN/Block) 	Elapsed: 38.789	Loglikelihood: -7.11447e+07	(delta): 0.0413532
33 (QN/Block) 	Elapsed: 38.878	Loglikelihood: -7.11447e+07	(delta): 0.0171084
34 (QN/Block) 	Elapsed: 38.729	Loglikelihood: -7.11447e+07	(delta): 0.00351566
35 (QN/Block) 	Elapsed: 37.842	Loglikelihood: -7.11447e+07	(delta): 0.00115938
36 (QN/Block) 	Elapsed: 38.311	Loglikelihood: -7.11447e+07	(delta): 0.00102437
37 (QN/Block) 	Elapsed: 38.359	Loglikelihood: -7.11447e+07	(delta): 0.00128073
38 (QN/Block) 	Elapsed: 38.338	Loglikelihood: -7.11447e+07	(delta): 0.000944987
39 (QN/Block) 	Elapsed: 38.323	Loglikelihood: -7.11447e+07	(delta): 0.000668615
40 (QN/Block) 	Elapsed: 37.875	Loglikelihood: -7.11447e+07	(delta): 0.000730217
41 (QN/Block) 	Elapsed: 39.674	Loglikelihood: -7.11447e+07	(delta): 0.00020951
42 (QN/Block) 	Elapsed: 40.017	Loglikelihood: -7.11447e+07	(delta): 0.000178128
43 (QN/Block) 	Elapsed: 40.116	Loglikelihood: -7.11447e+07	(delta): 0.00018023
44 (QN/Block) 	Elapsed: 39.985	Loglikelihood: -7.11447e+07	(delta): 0.000187501
45 (QN/Block) 	Elapsed: 39.601	Loglikelihood: -7.11447e+07	(delta): 0.000196144
46 (QN/Block) 	Elapsed: 39.343	Loglikelihood: -7.11447e+07	(delta): 0.00020583
47 (QN/Block) 	Elapsed: 40.404	Loglikelihood: -7.11447e+07	(delta): 0.000216737
48 (QN/Block) 	Elapsed: 41.059	Loglikelihood: -7.11447e+07	(delta): 0.000228852
49 (QN/Block) 	Elapsed: 41.014	Loglikelihood: -7.11447e+07	(delta): 0.000241056
50 (QN/Block) 	Elapsed: 40.351	Loglikelihood: -7.11447e+07	(delta): 0.000254691
51 (QN/Block) 	Elapsed: 40.392	Loglikelihood: -7.11447e+07	(delta): 0.0002684
52 (QN/Block) 	Elapsed: 41.184	Loglikelihood: -7.11447e+07	(delta): 0.000282928
53 (QN/Block) 	Elapsed: 40.945	Loglikelihood: -7.11447e+07	(delta): 0.000298545
54 (QN/Block) 	Elapsed: 40.778	Loglikelihood: -7.11447e+07	(delta): 0.000315353
55 (QN/Block) 	Elapsed: 39.914	Loglikelihood: -7.11447e+07	(delta): 0.000333786
56 (QN/Block) 	Elapsed: 41.354	Loglikelihood: -7.11447e+07	(delta): 0.000352725
57 (QN/Block) 	Elapsed: 41.696	Loglikelihood: -7.11447e+07	(delta): 0.000373945
58 (QN/Block) 	Elapsed: 42.241	Loglikelihood: -7.11447e+07	(delta): 0.000396863
59 (QN/Block) 	Elapsed: 41.764	Loglikelihood: -7.11447e+07	(delta): 0.000422627
60 (QN/Block) 	Elapsed: 41.701	Loglikelihood: -7.11447e+07	(delta): 0.000450581
61 (QN/Block) 	Elapsed: 41.438	Loglikelihood: -7.11447e+07	(delta): 0.000481009
62 (QN/Block) 	Elapsed: 40.224	Loglikelihood: -7.11447e+07	(delta): 0.000512749
63 (QN/Block) 	Elapsed: 40.69	Loglikelihood: -7.11447e+07	(delta): 0.000547811
64 (QN/Block) 	Elapsed: 40.143	Loglikelihood: -7.11447e+07	(delta): 0.000587136
65 (QN/Block) 	Elapsed: 39.819	Loglikelihood: -7.11447e+07	(delta): 0.000630096
66 (QN/Block) 	Elapsed: 40.618	Loglikelihood: -7.11447e+07	(delta): 0.000675902
67 (QN/Block) 	Elapsed: 42.131	Loglikelihood: -7.11447e+07	(delta): 0.000725776
68 (QN/Block) 	Elapsed: 41.976	Loglikelihood: -7.11447e+07	(delta): 0.00077863
69 (QN/Block) 	Elapsed: 42.188	Loglikelihood: -7.11447e+07	(delta): 0.000835955
70 (QN/Block) 	Elapsed: 42.514	Loglikelihood: -7.11447e+07	(delta): 0.000897184
71 (QN/Block) 	Elapsed: 41.816	Loglikelihood: -7.11447e+07	(delta): 0.000962839
72 (QN/Block) 	Elapsed: 44.558	Loglikelihood: -7.11447e+07	(delta): 0.00103304
73 (QN/Block) 	Elapsed: 43.571	Loglikelihood: -7.11447e+07	(delta): 0.00110924
74 (QN/Block) 	Elapsed: 43.231	Loglikelihood: -7.11447e+07	(delta): 0.00118984
75 (QN/Block) 	Elapsed: 44.893	Loglikelihood: -7.11447e+07	(delta): 0.00127673
76 (QN/Block) 	Elapsed: 42.589	Loglikelihood: -7.11447e+07	(delta): 0.00137208
77 (QN/Block) 	Elapsed: 42.657	Loglikelihood: -7.11447e+07	(delta): 0.00147687
78 (QN/Block) 	Elapsed: 45.009	Loglikelihood: -7.11447e+07	(delta): 0.00159347
79 (QN/Block) 	Elapsed: 44.537	Loglikelihood: -7.11447e+07	(delta): 0.001719
80 (QN/Block) 	Elapsed: 44.688	Loglikelihood: -7.11447e+07	(delta): 0.00185488
81 (QN/Block) 	Elapsed: 44.27	Loglikelihood: -7.11447e+07	(delta): 0.00200069
82 (QN/Block) 	Elapsed: 42.114	Loglikelihood: -7.11447e+07	(delta): 0.00215858
83 (QN/Block) 	Elapsed: 42.97	Loglikelihood: -7.11447e+07	(delta): 0.00232886
84 (QN/Block) 	Elapsed: 42.425	Loglikelihood: -7.11447e+07	(delta): 0.00251193
85 (QN/Block) 	Elapsed: 44.011	Loglikelihood: -7.11447e+07	(delta): 0.00270896
86 (QN/Block) 	Elapsed: 44.574	Loglikelihood: -7.11447e+07	(delta): 0.00292239
87 (QN/Block) 	Elapsed: 43.443	Loglikelihood: -7.11447e+07	(delta): 0.00315228
88 (QN/Block) 	Elapsed: 43.645	Loglikelihood: -7.11447e+07	(delta): 0.00340056
89 (QN/Block) 	Elapsed: 44.261	Loglikelihood: -7.11447e+07	(delta): 0.0036692
90 (QN/Block) 	Elapsed: 44.04	Loglikelihood: -7.11447e+07	(delta): 0.00395811
91 (QN/Block) 	Elapsed: 43.735	Loglikelihood: -7.11447e+07	(delta): 0.00427742
92 (QN/Block) 	Elapsed: 44.355	Loglikelihood: -7.11447e+07	(delta): 0.0046269
93 (QN/Block) 	Elapsed: 43.887	Loglikelihood: -7.11447e+07	(delta): 0.00500509
94 (QN/Block) 	Elapsed: 43.496	Loglikelihood: -7.11447e+07	(delta): 0.00541466
95 (QN/Block) 	Elapsed: 45.132	Loglikelihood: -7.11447e+07	(delta): 0.00588451
96 (QN/Block) 	Elapsed: 44.685	Loglikelihood: -7.11447e+07	(delta): 0.00640483
97 (QN/Block) 	Elapsed: 45.31	Loglikelihood: -7.11447e+07	(delta): 0.0069796
98 (QN/Block) 	Elapsed: 45.731	Loglikelihood: -7.11447e+07	(delta): 0.00762153
99 (QN/Block) 	Elapsed: 47.09	Loglikelihood: -7.11447e+07	(delta): 0.00832246
100 (QN/Block) 	Elapsed: 47.2	Loglikelihood: -7.11447e+07	(delta): 0.00908522
101 (QN/Block) 	Elapsed: 47.473	Loglikelihood: -7.11447e+07	(delta): 0.0099176
102 (QN/Block) 	Elapsed: 47.234	Loglikelihood: -7.11447e+07	(delta): 0.0108228
103 (QN/Block) 	Elapsed: 47.514	Loglikelihood: -7.11447e+07	(delta): 0.0118037
104 (QN/Block) 	Elapsed: 47.018	Loglikelihood: -7.11447e+07	(delta): 0.0128716
105 (QN/Block) 	Elapsed: 46.366	Loglikelihood: -7.11447e+07	(delta): 0.0140356
106 (QN/Block) 	Elapsed: 46.439	Loglikelihood: -7.11447e+07	(delta): 0.0153113
107 (QN/Block) 	Elapsed: 46.646	Loglikelihood: -7.11447e+07	(delta): 0.0167526
108 (QN/Block) 	Elapsed: 46.768	Loglikelihood: -7.11447e+07	(delta): 0.0183785
109 (QN/Block) 	Elapsed: 42.522	Loglikelihood: -7.11447e+07	(delta): 0.0201999
110 (QN/Block) 	Elapsed: 41.805	Loglikelihood: -7.11447e+07	(delta): 0.0222383
111 (QN/Block) 	Elapsed: 41.041	Loglikelihood: -7.11447e+07	(delta): 0.0244828
112 (QN/Block) 	Elapsed: 39.54	Loglikelihood: -7.11447e+07	(delta): 0.0270227
113 (QN/Block) 	Elapsed: 39.821	Loglikelihood: -7.11447e+07	(delta): 0.029858
114 (QN/Block) 	Elapsed: 39.761	Loglikelihood: -7.11447e+07	(delta): 0.0330047
115 (QN/Block) 	Elapsed: 39.587	Loglikelihood: -7.11447e+07	(delta): 0.0365889
116 (QN/Block) 	Elapsed: 39.508	Loglikelihood: -7.11447e+07	(delta): 0.0405901
117 (QN/Block) 	Elapsed: 39.549	Loglikelihood: -7.11447e+07	(delta): 0.0452846
118 (QN/Block) 	Elapsed: 39.506	Loglikelihood: -7.11447e+07	(delta): 0.0507311
119 (QN/Block) 	Elapsed: 39.492	Loglikelihood: -7.11447e+07	(delta): 0.0569569
120 (QN/Block) 	Elapsed: 39.541	Loglikelihood: -7.11447e+07	(delta): 0.0639263
121 (QN/Block) 	Elapsed: 39.469	Loglikelihood: -7.11447e+07	(delta): 0.0716849
122 (QN/Block) 	Elapsed: 39.473	Loglikelihood: -7.11447e+07	(delta): 0.0809966
123 (QN/Block) 	Elapsed: 39.485	Loglikelihood: -7.11447e+07	(delta): 0.0919868
124 (QN/Block) 	Elapsed: 39.459	Loglikelihood: -7.11447e+07	(delta): 0.104562
125 (QN/Block) 	Elapsed: 39.442	Loglikelihood: -7.11447e+07	(delta): 0.119141
126 (QN/Block) 	Elapsed: 39.458	Loglikelihood: -7.11447e+07	(delta): 0.136395
127 (QN/Block) 	Elapsed: 40.61	Loglikelihood: -7.11447e+07	(delta): 0.156807
128 (QN/Block) 	Elapsed: 43.229	Loglikelihood: -7.11447e+07	(delta): 0.180745
129 (QN/Block) 	Elapsed: 43.104	Loglikelihood: -7.11447e+07	(delta): 0.209093
130 (QN/Block) 	Elapsed: 42.44	Loglikelihood: -7.11447e+07	(delta): 0.242755
131 (QN/Block) 	Elapsed: 40.987	Loglikelihood: -7.11447e+07	(delta): 0.282065
132 (QN/Block) 	Elapsed: 38.066	Loglikelihood: -7.11447e+07	(delta): 0.32821
133 (QN/Block) 	Elapsed: 38.107	Loglikelihood: -7.11447e+07	(delta): 0.382576
134 (QN/Block) 	Elapsed: 38.089	Loglikelihood: -7.11447e+07	(delta): 0.447078
135 (QN/Block) 	Elapsed: 38.036	Loglikelihood: -7.11447e+07	(delta): 0.523652
136 (QN/Block) 	Elapsed: 38.157	Loglikelihood: -7.11447e+07	(delta): 0.614944
137 (QN/Block) 	Elapsed: 38.098	Loglikelihood: -7.11447e+07	(delta): 0.7246
138 (QN/Block) 	Elapsed: 38.093	Loglikelihood: -7.11447e+07	(delta): 0.856416
139 (QN/Block) 	Elapsed: 38.12	Loglikelihood: -7.11447e+07	(delta): 1.01578
140 (QN/Block) 	Elapsed: 38.085	Loglikelihood: -7.11447e+07	(delta): 1.21056
141 (QN/Block) 	Elapsed: 39.591	Loglikelihood: -7.11447e+07	(delta): 1.44933
142 (QN/Block) 	Elapsed: 39.656	Loglikelihood: -7.11447e+07	(delta): 1.74132
143 (QN/Block) 	Elapsed: 39.577	Loglikelihood: -7.11447e+07	(delta): 2.1007
144 (QN/Block) 	Elapsed: 39.613	Loglikelihood: -7.11447e+07	(delta): 2.55277
145 (QN/Block) 	Elapsed: 39.6	Loglikelihood: -7.11447e+07	(delta): 3.13015
146 (QN/Block) 	Elapsed: 39.686	Loglikelihood: -7.11447e+07	(delta): 3.87726
147 (QN/Block) 	Elapsed: 39.629	Loglikelihood: -7.11447e+07	(delta): 3.06616
148 (QN/Block) 	Elapsed: 38.275	Loglikelihood: -7.11447e+07	(delta): 0.0141708
149 (QN/Block) 	Elapsed: 39.585	Loglikelihood: -7.11447e+07	(delta): 0.0084421
150 (QN/Block) 	Elapsed: 38.251	Loglikelihood: -7.11447e+07	(delta): 0.00163694
151 (QN/Block) 	Elapsed: 38.172	Loglikelihood: -7.11447e+07	(delta): 9.43094e-05
Summary: 
Converged in 151 iterations (6343.12 sec)
Loglikelihood: -71144687.190824
Fst divergences between estimated populations: 
	Pop0	Pop1	Pop2	Pop3	Pop4	Pop5	Pop6	Pop7	Pop8	
Pop0	
Pop1	0.080	
Pop2	0.142	0.111	
Pop3	0.110	0.075	0.128	
Pop4	0.127	0.095	0.135	0.113	
Pop5	0.106	0.070	0.127	0.096	0.111	
Pop6	0.110	0.077	0.125	0.096	0.102	0.093	
Pop7	0.108	0.077	0.139	0.102	0.128	0.099	0.106	
Pop8	0.161	0.126	0.187	0.153	0.171	0.150	0.154	0.154	
Pop9	0.120	0.083	0.153	0.114	0.135	0.111	0.119	0.112	0.166	
CV error (K=10): 1.09515
Writing output files.
